rec_art,onrp,bfsnr,plz_typ,postleitzahl,plz_zz,plz6,gplz,ortbez18,ortbez27,kanton,sprachcode,sprachcode_abw,briefz_durch,gilt_ab_dat,plz_briefzust,plz_coff
1,5197,3203,80,9000,70,900070,9000,St. Gallen Dist Ba,St. Gallen Dist Ba,SG,1,,5197,23.11.98,900070,
1,5211,3203,30,9007,0,900700,9000,St. Gallen,St. Gallen,SG,1,,5211,29.12.94,900700,
1,5212,3203,10,9008,0,900800,9000,St. Gallen,St. Gallen,SG,1,,6519,01.10.87,901460,J
1,5218,3203,10,9014,0,901400,9000,St. Gallen,St. Gallen,SG,1,,6519,01.10.87,901460,J
1,5220,3203,10,9016,0,901600,9000,St. Gallen,St. Gallen,SG,1,,6519,01.10.87,901460,J
1,5224,3212,10,9034,0,903400,9034,Eggersriet,Eggersriet,SG,1,,5224,21.05.86,903400,J
1,5226,3212,20,9036,0,903600,9036,Grub SG,Grub SG,SG,1,,7713,18.08.98,941060,J
1,5244,3024,20,9062,0,906200,9062,Lustmühle,Lustmühle,AR,1,,7710,24.02.97,905360,J
1,5246,3002,10,9064,0,906400,9064,Hundwil,Hundwil,AR,1,,5251,21.05.86,910400,J
1,5247,3001,20,9100,0,910000,9100,Herisau,Herisau,AR,1,,7310,01.10.87,910060,J
1,5250,3004,10,9103,0,910300,9103,Schwellbrunn,Schwellbrunn,AR,1,,7310,18.01.91,910060,J
1,5259,3102,20,9108,0,910800,9108,Gonten,Gonten,AI,1,,7309,21.05.86,905060,J
1,5263,3396,20,9114,0,911400,9114,Hoffeld,Hoffeld,SG,1,,8108,21.05.86,911360,J
1,5270,3396,20,9126,0,912600,9126,Necker,Necker,SG,1,,5269,21.05.86,912500,J
1,5273,3443,20,9200,0,920000,9200,Gossau SG,Gossau SG,SG,1,,7341,24.02.97,920060,J
1,5277,3441,10,9204,0,920400,9204,Andwil SG,Andwil SG,SG,1,,7341,21.05.86,920060,J
1,5282,4495,20,9216,0,921600,9216,Heldswil,Heldswil,TG,1,,7227,14.06.99,922060,J
1,5293,3402,20,9230,0,923000,9230,Flawil,Flawil,SG,1,,7707,24.02.97,923060,J
1,5302,3407,20,9248,0,924800,9248,Bichwil,Bichwil,SG,1,,7708,16.11.98,924060,J
1,5325,3217,10,9323,0,932300,9323,Steinach,Steinach,SG,1,,7224,21.05.86,932060,J
1,5337,3035,10,9411,0,941100,9411,Reute AR,Reute AR,AR,1,,5338,24.02.97,941300,J
1,5346,3037,10,9428,0,942800,9428,Walzenhausen,Walzenhausen,AR,1,,9501,21.05.86,944260,J
1,5352,3231,10,9435,0,943500,9435,Heerbrugg,Heerbrugg,SG,1,,9501,06.08.96,944260,J
1,5353,3232,10,9436,0,943600,9436,Balgach,Balgach,SG,1,,9501,06.08.96,944260,J
1,5356,3233,10,9442,0,944200,9442,Berneck,Berneck,SG,1,,9501,21.11.96,944260,J
1,5424,3423,20,9525,0,952500,9525,Lenggenwil,Lenggenwil,SG,1,,7708,07.09.01,924060,J
1,5445,4711,10,9556,0,955600,9556,Affeltrangen,Affeltrangen,TG,1,,5446,07.03.96,956200,J
1,5451,4921,20,9565,0,956500,9565,Bussnang,Bussnang,TG,1,,7282,10.09.98,857060,J
1,5453,4761,20,9573,0,957300,9573,Littenheid,Littenheid,TG,1,,9739,22.10.97,837060,J
1,5454,3393,20,9601,0,960100,9601,Lütisburg Station,Lütisburg Station,SG,1,,5457,05.08.96,960600,J
1,5457,3395,10,9606,0,960600,9606,Bütschwil,Bütschwil,SG,1,,5457,07.03.96,960600,J
1,5458,3394,10,9607,0,960700,9607,Mosnang,Mosnang,SG,1,,5457,07.03.96,960600,J
1,5462,3394,20,9614,0,961400,9614,Libingen,Libingen,SG,1,,5457,23.11.98,960600,J
1,5469,3379,10,9630,0,963000,9630,Wattwil,Wattwil,SG,1,,7709,07.03.96,963060,J
