"Variable","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","Test"
"... 5743","1","0","0","0","0","0","2","0","0","0","1","0","0","0",""
"... 5760","0","0","0","0","0","0","0","0","2","0","0","0","3","0",""
"... 5800","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 6000","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 6020","1","0","0","0","0","0","1","0","0","0","0","0","1","0",""
"... 6046","0","0","0","0","0","0","0","0","1","0","0","0","1","0",""
"... 6050","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 6060","1","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 6100","0","0","0","0","2","0","0","0","0","0","0","0","0","0",""
"... 6104","2","0","2","0","0","0","0","0","0","0","0","0","1","0",""
"... 6166","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 6200","0","0","0","0","0","0","0","0","0","0","1","0","1","0",""
"... 6250","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 6310","1","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 6328","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 6330","1","0","1","0","1","0","2","0","0","0","3","0","2","0",""
"... 6334","1","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 6336","1","0","0","0","2","0","1","0","3","0","1","0","0","0",""
"... 6429","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 6433","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 6500","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 6550","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 6690","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 6708","1","0","1","0","1","0","0","0","1","0","1","0","1","0",""
"... 6754","0","0","0","0","0","0","1","0","0","0","0","0","1","0",""
"... 6830","0","0","2","0","0","0","0","0","2","0","0","0","0","0",""
"... 6850","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 6900","0","0","0","0","1","0","0","0","0","0","0","0","1","0",""
"... 6971","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 6985","0","0","0","0","1","0","0","0","1","0","0","0","0","0",""
"... 7000","0","0","0","0","0","0","0","0","1","0","0","0","1","0",""
"... 7020","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 7030","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 7033","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 7130","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 7141","0","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 7201","0","0","1","0","0","0","0","0","0","0","1","0","0","0",""
"... 7262","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 7332","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 7440","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 7461","0","0","0","0","0","0","2","0","0","0","0","0","0","0",""
"... 7590","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 7623","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 7631","1","0","0","0","1","0","0","0","0","0","2","0","0","0",""
"... 7700","0","0","0","0","0","0","0","0","0","0","0","0","2","0",""
"... 8000","0","0","0","0","1","0","1","0","2","0","1","0","0","0",""
"... 8001","287","0.004","330","0.005","283","0.004","275","0.004","319","0.005","301","0.004","295","0.004",""
"... 8002","271","0.004","249","0.004","255","0.004","267","0.004","241","0.004","257","0.004","271","0.004",""
"... 8003","1012","0.015","1108","0.017","1079","0.016","1009","0.015","1058","0.016","1055","0.016","1054","0.016",""
"... 8004","1536","0.023","1479","0.022","1523","0.023","1571","0.024","1492","0.022","1525","0.023","1493","0.022",""
"... 8005","1347","0.02","1395","0.021","1455","0.022","1388","0.021","1394","0.021","1456","0.022","1381","0.021",""
"... 8006","527","0.008","515","0.008","505","0.008","481","0.007","485","0.007","509","0.008","463","0.007",""
"... 8008","477","0.007","488","0.007","500","0.007","456","0.007","520","0.008","488","0.007","489","0.007",""
"... 8010","0","0","0","0","2","0","1","0","0","0","2","0","0","0",""
"... 8020","1","0","0","0","4","0","1","0","0","0","1","0","1","0",""
"... 8032","483","0.007","429","0.006","446","0.007","394","0.006","479","0.007","446","0.007","462","0.007",""
"... 8037","707","0.011","725","0.011","716","0.011","753","0.011","686","0.01","728","0.011","724","0.011",""
"... 8038","756","0.011","719","0.011","728","0.011","732","0.011","737","0.011","701","0.01","740","0.011",""
"... 8041","393","0.006","370","0.006","419","0.006","416","0.006","392","0.006","421","0.006","420","0.006",""
"... 8044","193","0.003","187","0.003","215","0.003","176","0.003","207","0.003","181","0.003","203","0.003",""
"... 8045","565","0.008","544","0.008","519","0.008","541","0.008","540","0.008","570","0.008","494","0.007",""
"... 8046","1469","0.022","1466","0.022","1490","0.022","1527","0.023","1536","0.023","1489","0.022","1497","0.022",""
"... 8047","947","0.014","948","0.014","916","0.014","918","0.014","959","0.014","861","0.013","913","0.014",""
"... 8048","1475","0.022","1469","0.022","1437","0.021","1506","0.023","1535","0.023","1518","0.023","1538","0.023",""
"... 8049","826","0.012","853","0.013","845","0.013","824","0.012","861","0.013","833","0.012","861","0.013",""
"... 8050","1474","0.022","1492","0.022","1492","0.022","1497","0.022","1575","0.023","1507","0.022","1609","0.024",""
"... 8051","1588","0.024","1524","0.023","1577","0.024","1545","0.023","1648","0.024","1580","0.024","1621","0.024",""
"... 8052","1209","0.018","1123","0.017","1180","0.018","1193","0.018","1155","0.017","1165","0.017","1146","0.017",""
"... 8053","367","0.005","364","0.005","350","0.005","346","0.005","333","0.005","322","0.005","370","0.005",""
"... 8055","955","0.014","959","0.014","883","0.013","943","0.014","943","0.014","949","0.014","975","0.014",""
"... 8057","932","0.014","944","0.014","931","0.014","857","0.013","927","0.014","912","0.014","908","0.013",""
"... 8063","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 8064","238","0.004","255","0.004","266","0.004","260","0.004","282","0.004","259","0.004","271","0.004",""
"... 8102","302","0.004","305","0.005","345","0.005","302","0.005","322","0.005","312","0.005","288","0.004",""
"... 8103","152","0.002","126","0.002","123","0.002","138","0.002","134","0.002","126","0.002","118","0.002",""
"... 8104","69","0.001","73","0.001","63","0.001","74","0.001","74","0.001","86","0.001","65","0.001",""
"... 8105","726","0.011","675","0.01","685","0.01","687","0.01","694","0.01","741","0.011","703","0.01",""
"... 8106","277","0.004","275","0.004","298","0.004","306","0.005","298","0.004","286","0.004","282","0.004",""
"... 8107","337","0.005","355","0.005","297","0.004","294","0.004","291","0.004","264","0.004","292","0.004",""
"... 8108","188","0.003","195","0.003","187","0.003","203","0.003","201","0.003","197","0.003","204","0.003",""
"... 8110","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 8112","104","0.002","108","0.002","95","0.001","106","0.002","111","0.002","100","0.001","98","0.001",""
"... 8113","35","0.001","42","0.001","28","0","24","0","26","0","28","0","23","0",""
"... 8114","80","0.001","73","0.001","97","0.001","91","0.001","96","0.001","86","0.001","72","0.001",""
"... 8115","19","0","18","0","14","0","22","0","20","0","23","0","18","0",""
"... 8117","190","0.003","209","0.003","204","0.003","169","0.003","169","0.003","184","0.003","183","0.003",""
"... 8118","67","0.001","49","0.001","61","0.001","60","0.001","62","0.001","62","0.001","57","0.001",""
"... 8121","74","0.001","103","0.002","75","0.001","94","0.001","75","0.001","91","0.001","78","0.001",""
"... 8122","73","0.001","70","0.001","65","0.001","67","0.001","58","0.001","59","0.001","62","0.001",""
"... 8123","88","0.001","65","0.001","71","0.001","73","0.001","57","0.001","69","0.001","70","0.001",""
"... 8124","48","0.001","37","0.001","47","0.001","44","0.001","58","0.001","55","0.001","50","0.001",""
"... 8125","139","0.002","123","0.002","146","0.002","131","0.002","125","0.002","122","0.002","122","0.002",""
"... 8126","104","0.002","128","0.002","107","0.002","106","0.002","118","0.002","121","0.002","121","0.002",""
"... 8127","137","0.002","130","0.002","114","0.002","127","0.002","128","0.002","112","0.002","97","0.001",""
"... 8132","209","0.003","223","0.003","209","0.003","221","0.003","212","0.003","203","0.003","235","0.003",""
"... 8133","40","0.001","61","0.001","55","0.001","64","0.001","60","0.001","54","0.001","60","0.001",""
"... 8134","742","0.011","736","0.011","712","0.011","671","0.01","705","0.01","715","0.011","732","0.011",""
"... 8135","257","0.004","283","0.004","265","0.004","255","0.004","299","0.004","253","0.004","295","0.004",""
"... 8136","86","0.001","89","0.001","91","0.001","86","0.001","98","0.001","99","0.001","81","0.001",""
"... 8142","83","0.001","75","0.001","84","0.001","85","0.001","75","0.001","99","0.001","75","0.001",""
"... 8143","76","0.001","92","0.001","107","0.002","106","0.002","102","0.002","78","0.001","88","0.001",""
"... 8152","1167","0.017","1151","0.017","1116","0.017","1119","0.017","1174","0.017","1134","0.017","1099","0.016",""
"... 8153","454","0.007","407","0.006","393","0.006","432","0.006","431","0.006","420","0.006","470","0.007",""
"... 8154","442","0.007","373","0.006","410","0.006","374","0.006","389","0.006","439","0.007","417","0.006",""
"... 8155","379","0.006","324","0.005","367","0.005","345","0.005","341","0.005","355","0.005","331","0.005",""
"... 8156","76","0.001","78","0.001","62","0.001","76","0.001","78","0.001","74","0.001","66","0.001",""
"... 8157","282","0.004","242","0.004","256","0.004","270","0.004","253","0.004","257","0.004","259","0.004",""
"... 8158","11","0","10","0","13","0","11","0","8","0","19","0","12","0",""
"... 8162","135","0.002","131","0.002","140","0.002","154","0.002","127","0.002","129","0.002","140","0.002",""
"... 8164","20","0","18","0","30","0","23","0","29","0","20","0","21","0",""
"... 8165","140","0.002","124","0.002","151","0.002","158","0.002","137","0.002","130","0.002","136","0.002",""
"... 8166","95","0.001","104","0.002","99","0.001","111","0.002","101","0.001","113","0.002","117","0.002",""
"... 8172","231","0.003","231","0.003","232","0.003","223","0.003","214","0.003","241","0.004","211","0.003",""
"... 8173","63","0.001","60","0.001","70","0.001","68","0.001","75","0.001","74","0.001","65","0.001",""
"... 8174","75","0.001","52","0.001","64","0.001","46","0.001","56","0.001","60","0.001","52","0.001",""
"... 8175","28","0","23","0","22","0","26","0","20","0","21","0","24","0",""
"... 8180","1148","0.017","1132","0.017","1132","0.017","1123","0.017","1097","0.016","1120","0.017","1065","0.016",""
"... 8181","171","0.003","175","0.003","152","0.002","156","0.002","191","0.003","170","0.003","158","0.002",""
"... 8182","71","0.001","58","0.001","76","0.001","66","0.001","79","0.001","64","0.001","82","0.001",""
"... 8184","193","0.003","195","0.003","199","0.003","205","0.003","185","0.003","241","0.004","186","0.003",""
"... 8185","109","0.002","100","0.001","112","0.002","105","0.002","119","0.002","99","0.001","117","0.002",""
"... 8187","79","0.001","75","0.001","93","0.001","89","0.001","91","0.001","107","0.002","96","0.001",""
"... 8192","187","0.003","223","0.003","204","0.003","221","0.003","245","0.004","191","0.003","211","0.003",""
"... 8193","194","0.003","165","0.002","177","0.003","182","0.003","183","0.003","158","0.002","194","0.003",""
"... 8194","30","0","32","0","21","0","30","0","26","0","28","0","26","0",""
"... 8195","13","0","10","0","7","0","18","0","18","0","14","0","15","0",""
"... 8196","45","0.001","62","0.001","42","0.001","48","0.001","40","0.001","37","0.001","38","0.001",""
"... 8197","220","0.003","178","0.003","191","0.003","211","0.003","179","0.003","168","0.003","179","0.003",""
"... 8200","42","0.001","51","0.001","46","0.001","39","0.001","48","0.001","33","0","41","0.001",""
"... 8203","5","0","3","0","4","0","4","0","6","0","5","0","3","0",""
"... 8207","6","0","4","0","8","0","6","0","8","0","11","0","12","0",""
"... 8208","0","0","0","0","1","0","0","0","1","0","1","0","1","0",""
